filepath,actor,emotion,emotion_id
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-01-01.wav,1,neutral,0
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-02-01.wav,1,neutral,0
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-01-01.wav,1,neutral,0
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-02-01.wav,1,neutral,0
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-01-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-02-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-01-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-02-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-01-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-02-01.wav,1,calm,1
C:\Users\MAHESH\OneDrive\Documents\ML\projects\Emotion_recognition\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-02-01-01.wav,1,calm,1
